# Region type :  faceZone inlet52
# Faces          : 50
# Area           : 1.024292500e-05
# Scale factor   : 1.000000000e+00
# Time           	average(p)
0.001            	6.719423190e+05
0.002            	6.725097577e+05
0.003            	6.717596713e+05
0.004            	6.710335952e+05
0.005            	6.716350361e+05
0.006            	6.726386560e+05
0.007            	6.726340950e+05
0.008            	6.723991701e+05
0.009            	6.720841562e+05
0.01             	6.732130691e+05
0.011            	6.720520509e+05
0.012            	6.727798966e+05
0.013            	6.717877755e+05
0.014            	6.715089522e+05
0.015            	6.731883039e+05
0.016            	6.725415989e+05
0.017            	6.722785734e+05
0.018            	6.726165056e+05
0.019            	6.732056012e+05
0.02             	6.727334526e+05
0.021            	6.736715793e+05
0.022            	6.724133835e+05
0.023            	6.720702143e+05
0.024            	6.724532986e+05
0.025            	6.715928499e+05
