# Region type :  faceZone inlet52
# Faces          : 50
# Area           : 1.024292500e-05
# Scale factor   : 1.000000000e+00
# Time           	sum(phi)
0.001            	5.586740611e-02
0.002            	5.594115643e-02
0.003            	5.592312794e-02
0.004            	5.590155377e-02
0.005            	5.595575994e-02
0.006            	5.593226034e-02
0.007            	5.596428333e-02
0.008            	5.597270958e-02
0.009            	5.596442977e-02
0.01             	5.601092266e-02
0.011            	5.597492384e-02
0.012            	5.599328166e-02
0.013            	5.599632619e-02
0.014            	5.594273450e-02
0.015            	5.601029013e-02
0.016            	5.600761434e-02
0.017            	5.598923403e-02
0.018            	5.599523100e-02
0.019            	5.600581871e-02
0.02             	5.604142458e-02
0.021            	5.602464906e-02
0.022            	5.599997787e-02
0.023            	5.600967517e-02
0.024            	5.600043529e-02
0.025            	5.599296410e-02
