# Region type :  patch inlet1
# Faces          : 100
# Area           : 4.500000000e-05
# Scale factor   : 1.000000000e+00
# Time           	average(p)
0.001            	2.653476837e+05
0.002            	2.653476837e+05
0.003            	2.653476837e+05
0.004            	2.653476837e+05
0.005            	2.653476837e+05
0.006            	2.653476837e+05
0.007            	2.653476837e+05
0.008            	2.653476837e+05
0.009            	2.653476837e+05
0.01             	2.653476837e+05
0.011            	2.653476837e+05
0.012            	2.653476837e+05
0.013            	2.653476837e+05
0.014            	2.653476837e+05
0.015            	2.653476837e+05
0.016            	2.653476837e+05
0.017            	2.653476837e+05
0.018            	2.653476837e+05
0.019            	2.653476837e+05
0.02             	2.653476837e+05
0.021            	2.653476837e+05
0.022            	2.653476837e+05
0.023            	2.653476837e+05
0.024            	2.653476837e+05
0.025            	2.653476837e+05
