# Region type :  patch inlet1
# Faces          : 100
# Area           : 4.500000000e-05
# Scale factor   : 1.000000000e+00
# Time           	sum(phi)
0.001            	-1.586997358e-01
0.002            	-1.586997358e-01
0.003            	-1.586997358e-01
0.004            	-1.586997358e-01
0.005            	-1.586997358e-01
0.006            	-1.586997358e-01
0.007            	-1.586997358e-01
0.008            	-1.586997358e-01
0.009            	-1.586997358e-01
0.01             	-1.586997358e-01
0.011            	-1.586997358e-01
0.012            	-1.586997358e-01
0.013            	-1.586997358e-01
0.014            	-1.586997358e-01
0.015            	-1.586997358e-01
0.016            	-1.586997358e-01
0.017            	-1.586997358e-01
0.018            	-1.586997358e-01
0.019            	-1.586997358e-01
0.02             	-1.586997358e-01
0.021            	-1.586997358e-01
0.022            	-1.586997358e-01
0.023            	-1.586997358e-01
0.024            	-1.586997358e-01
0.025            	-1.586997358e-01
