# Region type :  faceZone outlet90
# Faces          : 50
# Area           : 9.430025000e-06
# Scale factor   : 1.000000000e+00
# Time           	average(p)
0.001            	8.169097385e+05
0.002            	8.175834461e+05
0.003            	8.172774191e+05
0.004            	8.160069778e+05
0.005            	8.176027536e+05
0.006            	8.178339612e+05
0.007            	8.175061817e+05
0.008            	8.167693380e+05
0.009            	8.190782652e+05
0.01             	8.188754457e+05
0.011            	8.191105185e+05
0.012            	8.181363231e+05
0.013            	8.195286610e+05
0.014            	8.166268962e+05
0.015            	8.192346644e+05
0.016            	8.176538876e+05
0.017            	8.192921450e+05
0.018            	8.201613418e+05
0.019            	8.202806337e+05
0.02             	8.204079728e+05
0.021            	8.188650870e+05
0.022            	8.204947754e+05
0.023            	8.198626734e+05
0.024            	8.202382224e+05
0.025            	8.182285367e+05
