# Region type :  faceZone outlet90
# Faces          : 50
# Area           : 9.430025000e-06
# Scale factor   : 1.000000000e+00
# Time           	sum(phi)
0.001            	5.585829679e-02
0.002            	5.603183069e-02
0.003            	5.592193456e-02
0.004            	5.585490116e-02
0.005            	5.596664467e-02
0.006            	5.595621269e-02
0.007            	5.592936261e-02
0.008            	5.595716691e-02
0.009            	5.594231974e-02
0.01             	5.600232710e-02
0.011            	5.602442282e-02
0.012            	5.596079885e-02
0.013            	5.604894869e-02
0.014            	5.597159424e-02
0.015            	5.601784462e-02
0.016            	5.591640005e-02
0.017            	5.600206639e-02
0.018            	5.597380722e-02
0.019            	5.598722620e-02
0.02             	5.605681746e-02
0.021            	5.603471911e-02
0.022            	5.604498524e-02
0.023            	5.603949191e-02
0.024            	5.600265641e-02
0.025            	5.594899657e-02
