# Region type :  patch outlet1
# Faces          : 50
# Area           : 9.430025000e-06
# Scale factor   : 1.000000000e+00
# Time           	average(p)
0.001            	8.563582188e+05
0.002            	8.582504085e+05
0.003            	8.585135053e+05
0.004            	8.588249114e+05
0.005            	8.590902711e+05
0.006            	8.587693254e+05
0.007            	8.583682453e+05
0.008            	8.595084473e+05
0.009            	8.579754194e+05
0.01             	8.592209965e+05
0.011            	8.591716113e+05
0.012            	8.592125936e+05
0.013            	8.606186122e+05
0.014            	8.589935568e+05
0.015            	8.578977108e+05
0.016            	8.585621772e+05
0.017            	8.604657243e+05
0.018            	8.600013561e+05
0.019            	8.597913329e+05
0.02             	8.591663248e+05
0.021            	8.615317024e+05
0.022            	8.608328915e+05
0.023            	8.586686028e+05
0.024            	8.602839391e+05
0.025            	8.602450195e+05
