# Region type :  patch outlet1
# Faces          : 50
# Area           : 9.430025000e-06
# Scale factor   : 1.000000000e+00
# Weight field   : p
# Time           	weightedAverage(p)
0.001            	8.645494036e+05
0.002            	8.662363288e+05
0.003            	8.668456318e+05
0.004            	8.668831795e+05
0.005            	8.675244056e+05
0.006            	8.670024868e+05
0.007            	8.665538114e+05
0.008            	8.671126256e+05
0.009            	8.661006742e+05
0.01             	8.676016316e+05
0.011            	8.672056542e+05
0.012            	8.673188621e+05
0.013            	8.692497330e+05
0.014            	8.671061293e+05
0.015            	8.658634232e+05
0.016            	8.667933925e+05
0.017            	8.692857880e+05
0.018            	8.682842806e+05
0.019            	8.683477143e+05
0.02             	8.674646171e+05
0.021            	8.699566766e+05
0.022            	8.691166932e+05
0.023            	8.668408214e+05
0.024            	8.687917462e+05
0.025            	8.685744869e+05
