# Region type :  patch outlet1
# Faces          : 50
# Area           : 9.430025000e-06
# Scale factor   : 1.000000000e+00
# Time           	sum(phi)
0.001            	5.589451706e-02
0.002            	5.591533703e-02
0.003            	5.595820027e-02
0.004            	5.590329849e-02
0.005            	5.598635670e-02
0.006            	5.596698981e-02
0.007            	5.595224028e-02
0.008            	5.599120215e-02
0.009            	5.591426979e-02
0.01             	5.595460228e-02
0.011            	5.591617240e-02
0.012            	5.597268718e-02
0.013            	5.602036636e-02
0.014            	5.598916222e-02
0.015            	5.594841743e-02
0.016            	5.595523360e-02
0.017            	5.604418804e-02
0.018            	5.603360750e-02
0.019            	5.594626203e-02
0.02             	5.600448391e-02
0.021            	5.604582227e-02
0.022            	5.605061920e-02
0.023            	5.593511808e-02
0.024            	5.604633843e-02
0.025            	5.603812844e-02
