# y+ ()          
# Time           	patch            	min              	max              	average          
0.001            	wall1	1.294189269e+01	2.756842069e+02	1.630039464e+02
0.001            	wall2	3.568104887e+01	2.582278617e+02	1.858772746e+02
0.002            	wall1	1.223870865e+01	2.733804967e+02	1.618225062e+02
0.002            	wall2	3.556979983e+01	2.673681702e+02	1.859616148e+02
0.003            	wall1	1.258444427e+01	2.661575240e+02	1.605701926e+02
0.003            	wall2	3.527778160e+01	2.643280787e+02	1.857424643e+02
0.004            	wall1	1.201492661e+01	2.658390243e+02	1.596785350e+02
0.004            	wall2	3.536463596e+01	2.601808177e+02	1.862838468e+02
0.005            	wall1	1.251186848e+01	2.627185227e+02	1.595752431e+02
0.005            	wall2	3.537007461e+01	2.664985947e+02	1.858796340e+02
0.006            	wall1	1.188057137e+01	2.608504207e+02	1.592434005e+02
0.006            	wall2	3.542510955e+01	2.654808997e+02	1.859053444e+02
0.007            	wall1	1.189939438e+01	2.565462882e+02	1.589432641e+02
0.007            	wall2	3.540615208e+01	2.623204742e+02	1.857156120e+02
0.008            	wall1	1.210949585e+01	2.598718016e+02	1.585480241e+02
0.008            	wall2	3.532626979e+01	2.675786659e+02	1.858058237e+02
0.009            	wall1	1.241263925e+01	2.573055342e+02	1.582307778e+02
0.009            	wall2	3.522748964e+01	2.615578806e+02	1.861130123e+02
0.01             	wall1	1.218882032e+01	2.542177538e+02	1.583583937e+02
0.01             	wall2	3.512308753e+01	2.657397368e+02	1.862118306e+02
0.011            	wall1	1.194040318e+01	2.511235371e+02	1.580495918e+02
0.011            	wall2	3.553884609e+01	2.625479169e+02	1.857288627e+02
0.012            	wall1	1.212310879e+01	2.525613105e+02	1.575676500e+02
0.012            	wall2	3.568517630e+01	2.619272191e+02	1.856620373e+02
0.013            	wall1	1.251302252e+01	2.505219836e+02	1.576717400e+02
0.013            	wall2	3.566403277e+01	2.613654727e+02	1.851913316e+02
0.014            	wall1	1.196639487e+01	2.539670434e+02	1.574608594e+02
0.014            	wall2	3.575845588e+01	2.681636788e+02	1.854465971e+02
0.015            	wall1	1.153823714e+01	2.531425014e+02	1.571096841e+02
0.015            	wall2	3.557609166e+01	2.612138786e+02	1.853545441e+02
0.016            	wall1	1.251129034e+01	2.488025849e+02	1.572705730e+02
0.016            	wall2	3.560485012e+01	2.573618794e+02	1.855057162e+02
0.017            	wall1	1.258554672e+01	2.494800311e+02	1.573531058e+02
0.017            	wall2	3.572250844e+01	2.625078355e+02	1.853315015e+02
0.018            	wall1	1.268379780e+01	2.474879874e+02	1.565513182e+02
0.018            	wall2	3.567349412e+01	2.677979894e+02	1.856728984e+02
0.019            	wall1	1.237222771e+01	2.469275370e+02	1.567720740e+02
0.019            	wall2	3.566369553e+01	2.617852481e+02	1.856405436e+02
0.02             	wall1	1.219966311e+01	2.473376925e+02	1.567137190e+02
0.02             	wall2	3.544074453e+01	2.591997201e+02	1.859213179e+02
0.021            	wall1	1.202986803e+01	2.499252791e+02	1.563686218e+02
0.021            	wall2	3.550272078e+01	2.648680034e+02	1.854402424e+02
0.022            	wall1	1.160604530e+01	2.505900395e+02	1.561761317e+02
0.022            	wall2	3.570797306e+01	2.626933265e+02	1.850752930e+02
0.023            	wall1	1.212891124e+01	2.459311560e+02	1.562224276e+02
0.023            	wall2	3.551940751e+01	2.656752738e+02	1.854243619e+02
0.024            	wall1	1.215135425e+01	2.481121594e+02	1.559859779e+02
0.024            	wall2	3.549400761e+01	2.704616358e+02	1.858694567e+02
0.025            	wall1	1.153727326e+01	2.493100771e+02	1.560667163e+02
0.025            	wall2	3.566414463e+01	2.604961945e+02	1.857463146e+02
